"Data Source","World Development Indicators",

"Last Updated Date","2023-05-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Barbados","BRB","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2497441040.78018","2481206904.29041","2393289359.74394","2469448757.23414","2572897543.71603","2679753330.35735","2837329607.72139","3023068962.97985","3171077304.2551","3226526897.06182","3446366000.49933","3440651765.56726","3521789382.87625","3669423334.74296","3821113616.59362","4096819109.88856","4481383763.41502","4698118024.6613","4818874117.52278","4606412307.86433","4551513204.40901","4614125853.30232","4343539150.06314","4359831110.65549","4322217295.71498","4434706819.1804","4561691897.0494","4522539648.68581","4583021078.67324","4658880270.28314","4087411958.34114","4249201201.54306","",
"Brunei Darussalam","BRN","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14450109617.4131","15408743061.3974","16509841818.3488","16952657548.7417","17859283753.2782","19050412632.8206","19957590746.6769","20003072179.7589","20115237016.8534","21021308134.4865","22110111947.6952","23228621563.6443","24504099645.9353","25713344431.5388","26536753668.7613","27474956035.5065","29568272358.0279","30414305194.0122","30396365593.8609","30051400072.8521","31202967176.6399","33044207206.1251","35209872643.723","33885246844.1847","33344140243.0964","25948980972.9153","23633069098.5308","25891019749.5614","26523407039.6752","28042411244.7536","28702100627.9164","29419224102.1677","",
"Bhutan","BTN","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","826885271.862341","851361840.671594","910826502.023136","950937386.760534","1019335107.98805","1114330567.6164","1197883488.75557","1284022547.59182","1375266837.39962","1505995818.20968","1591786776.98512","1763540646.7639","1987900605.06249","2185722604.10008","2379256306.92264","2632684903.75645","2903885772.48762","3529951568.93269","3770321645.20738","4050552394.28651","4588921536.66413","5058193225.03562","5551018263.98396","5674556893.9944","6231640988.1671","6915381146.16075","7703914681.55542","8307416844.22731","8765747674.51565","9436049420.15261","8593872107.0485","9316861178.72335","",
"Botswana","BWA","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7804598662.20066","8670339884.34215","9126612882.91558","9521965418.80368","10078125438.3421","11012844539.3883","11868268300.7381","13078107285.7536","13283981569.7832","14773475564.2572","15408480262.0961","15795105477.0188","17014907424.2355","18153339262.7423","19145031691.7571","20645113489.1717","23062145974.1587","25057396984.6333","26368494841.0091","22783977994.2383","25391752053.6643","27691820403.6848","26256224092.9184","28454945765.8363","32410568728.9131","30936562621.4058","35937958790.8469","35203223635.2295","37554426016.834","39385414143.7291","36381745540.1555","42202045545.4369","",
"Central African Republic","CAF","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1781544257.69919","1831615144.575","1753010156.05268","1800579181.3785","1929140675.40674","2111404422.0818","2064059017.51379","2210932525.92625","2340903900.00677","2459352225.4633","2452459053.47969","2619674574.42282","2756721239.36077","2659397659.60188","2894494248.06212","3012372945.01733","3253479785.99681","3495362385.01733","3635577476.73456","3973077426.84278","4207022668.79955","4474567487.04114","4889047036.92662","3284695704.66429","3215650000.89682","3536183568.04248","3861897992.35142","4195263790.82987","4458264236.25294","4678688206.90582","4777693076.28373","5021009903.68172","",
"Canada","CAN","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","755390170461.408","793674327704.288","846412945809.995","900996986801.064","937786776176.929","971003788233.131","1023682523002.92","1083609294356.44","1171326187910.13","1241594039979.59","1301593351698.17","1342395839240.43","1307000908301.48","1363577286343.32","1430806739876.64","1468097961846.59","1554125000000","1621395561291.92","1594851775821.65","1678092366067.54","1765762548007.76","1852985933143.48","1871922067971.84","1792570798685.04","2016038366732.46","",
"Central Europe and the Baltics","CEB","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","785980738529.348","734755519355.259","736913071842.115","766016826542.701","814231967605.992","878478610187.477","921090766023.102","952656840816.475","993783005994.47","1024787866250.26","1086267440880.57","1162771326310.24","1244007818943.52","1315875038934.89","1433763614481.69","1517774890786.24","1683901419366.81","1871772814941.53","2065823336908.31","2064766325509.9","2173955152416.87","2323512468770.87","2401139146399.46","2474125180588.93","2579381150901.99","2698197022318.67","2858009110355.83","3064350505669.33","3281308236634.82","3577225078694.58","3552003011795.29","3811756345402.04","",
"Switzerland","CHE","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","191302020295.628","195960093489.074","200338232669.212","204828541832.759","211858856209.368","217341441884.552","223065865587.724","232310455362.736","241071029636.994","248740021832.269","264235191010.331","274040252057.322","282753110962.942","285067730045.325","298072521703.254","310493723866.738","348002427216.344","386727313376.912","413714805073.377","413168610935.569","429240405228.161","458820195091.514","479280657897.069","503360260789.332","524917052399.004","546805476343.839","570267482220.765","584052319305.968","610138577242.876","632137414573.34","621872382822.475","671381288253.731","",
"Channel Islands","CHI","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59203046243.9738","66075694112.5976","76266172939.3187","84364777740.4511","91998300374.6371","104524497962.337","116331734986.63","127084951483.416","133888457833.096","135403693020.971","145355727070.639","153318319465.913","160694760304.93","171606231464.844","187973662845.87","205184272361.174","256070327750.926","278373990855.263","275754675658.211","271327840689.37","307855669989.43","349147748338.746","374316599654.072","392670388758.784","402902197372.116","405499679728.348","424831691025.856","450891850914.83","478093905183.914","487574479827.351","478780351652.308","552981391697.36","",
